sub_original,sub_new
"migration, displacement",displacement
Displacement; Migration,displacement
Human migration,migration
Migration as adaptation,migration
Migration,migration
migration,migration
Migration,migration
Tourism,tourism
intranational and international human migration,migration
migration,migration
migration,migration
migration,migration
"range shift, changes in freshwater run-offs, increase of tourism, agriculture,  and other human activities in the North region",tourism
migration,migration
"migration, in particular by those engaged in subsistence agriculture",migration
Climate-induced migration,migration
Migration,migration
Migration: forced,displacement
Migration: planned resettlement,relocation
relocation of businesses and infrastructure,relocation
