"","ID_DOI_by_Flow","X2.1.Flow.Type","X2.2.Subtype","DOI","driver","impact","direction","impact.group","altered_flow","alteration","count_driver_alteredflow","count_driver_alteration","count_driver_altflow_bdimpact","count_driver_impact","count_alteredflow_impact","count_driver_bd_impactdirection","count_driver_alteredflow_impact_direction","count_driver_alteredflow_impact_direction_sub"
"1",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Location","Complex change",287,272,19,146,89,18,2,1
"2",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Direction","Complex change",224,224,17,146,79,18,2,1
"3",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Feedbacks","Complex change",208,206,19,192,118,118,12,2
"4",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Quantity","Complex change",370,79,23,146,108,18,3,1
"5",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Location","Complex change",287,272,21,192,115,118,13,2
"6",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Direction","Complex change",224,224,20,192,113,118,13,2
"7",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Quantity","Complex change",370,79,22,192,128,118,13,2
"8",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Speed","Increase",159,110,18,192,93,118,11,2
"9",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Duration","Increase",199,120,19,192,116,118,11,2
"10",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Frequency","Increase",160,105,16,192,93,118,9,2
"11",1,"Human movement","displacement","10.1177/01979183221074343","Drought","Connectivity","Decrease","good","Timing","Complex change",114,19,10,97,123,74,8,1
"12",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Duration","Increase",199,120,11,146,48,18,1,1
"13",1,"Human movement","displacement","10.1177/01979183221074343","Drought","Connectivity","Decrease","good","Distance","Increase",88,60,9,97,103,74,7,1
"14",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Timing","Complex change",226,72,14,146,67,18,3,1
"15",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Mechanism","Complex change",171,170,19,192,97,118,12,2
"16",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Distance","Increase",192,120,14,146,61,18,1,1
"17",1,"Human movement","displacement","10.1177/01979183221074343","Drought","Habitat Loss","Decrease","bad","Frequency","Increase",75,56,8,88,61,21,3,1
"18",1,"Human movement","displacement","10.1177/01979183221074343","Drought","Connectivity","Decrease","good","Location","Complex change",153,148,12,97,115,74,9,1
"19",1,"Human movement","displacement","10.1177/01979183221074343","Drought","Connectivity","Decrease","good","Frequency","Increase",75,56,8,97,93,74,6,1
"20",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Mechanism","Complex change",171,170,11,146,43,18,1,1
"21",1,"Human movement","displacement","10.1177/01979183221074343","Drought","Connectivity","Decrease","good","Quantity","Complex change",176,30,11,97,128,74,8,1
"22",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Frequency","Increase",160,105,13,146,61,18,2,1
"23",1,"Human movement","displacement","10.1177/01979183221074343","Drought","Connectivity","Decrease","good","Direction","Complex change",126,124,10,97,113,74,8,1
"24",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Speed","Increase",159,110,11,146,44,18,1,1
"25",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Timing","Complex change",226,72,19,192,123,118,12,2
"26",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Connectivity","Decrease","good","Distance","Increase",192,120,19,192,103,118,12,2
"27",1,"Human movement","displacement","10.1177/01979183221074343","Climate change  generic ","Habitat Loss","Decrease","bad","Feedbacks","Complex change",208,206,13,146,60,18,2,1
"28",1,"Human movement","displacement","10.1177/01979183221074343","Drought","Connectivity","Decrease","good","Feedbacks","Complex change",101,101,10,97,118,74,8,1
